"**Characteristic**","**Overall**  
N = 1,000","**Control**  
N = 505","**Exercise**  
N = 495","**p-value**"
"__Age (years)__","52 (9)","52 (9)","52 (10)",">0.9"
"__Sex__",NA,NA,NA,"0.5"
"Female","991 (99%)","499 (99%)","492 (99%)",NA
"Male","9 (0.9%)","6 (1.2%)","3 (0.6%)",NA
"__BMI (kg/mÂ²)__","26.2 (4.7)","26.1 (4.6)","26.3 (4.9)","0.9"
"__Menopausal status__",NA,NA,NA,">0.9"
"postmenopausal","567 (57%)","285 (57%)","282 (57%)",NA
"premenopausal","424 (43%)","214 (43%)","210 (43%)",NA
"__Tumor stage__",NA,NA,NA,">0.9"
"I","413 (41%)","209 (41%)","204 (41%)",NA
"II","447 (45%)","225 (45%)","222 (45%)",NA
"III","140 (14%)","71 (14%)","69 (14%)",NA
"__Tumor grade__",NA,NA,NA,"0.8"
"1","247 (25%)","120 (24%)","127 (26%)",NA
"2","505 (51%)","260 (51%)","245 (49%)",NA
"3","248 (25%)","125 (25%)","123 (25%)",NA
"__Hormone receptor status__",NA,NA,NA,">0.9"
"HR-","179 (18%)","91 (18%)","88 (18%)",NA
"HR+","821 (82%)","414 (82%)","407 (82%)",NA
"__HER2 status__",NA,NA,NA,"0.2"
"negative","790 (79%)","407 (81%)","383 (77%)",NA
"positive","210 (21%)","98 (19%)","112 (23%)",NA
"__Molecular subtype__",NA,NA,NA,"0.7"
"HER2-enriched","46 (4.6%)","24 (4.8%)","22 (4.4%)",NA
"Luminal A","495 (50%)","256 (51%)","239 (48%)",NA
"Luminal B (HER2-)","162 (16%)","84 (17%)","78 (16%)",NA
"Luminal B (HER2+)","164 (16%)","74 (15%)","90 (18%)",NA
"Triple-negative","133 (13%)","67 (13%)","66 (13%)",NA
"__Positive lymph nodes__","2 (2)","2 (2)","2 (2)","0.7"
"__Surgery type__",NA,NA,NA,"0.068"
"lumpectomy","522 (52%)","278 (55%)","244 (49%)",NA
"mastectomy","478 (48%)","227 (45%)","251 (51%)",NA
"__Chemotherapy regimen__",NA,NA,NA,"0.6"
"AC-T","386 (39%)","189 (37%)","197 (40%)",NA
"Other","107 (11%)","59 (12%)","48 (9.7%)",NA
"TAC","247 (25%)","121 (24%)","126 (25%)",NA
"TC","260 (26%)","136 (27%)","124 (25%)",NA
"__Radiation therapy__","734 (73%)","382 (76%)","352 (71%)","0.10"
"__Endocrine therapy__",NA,NA,NA,"0.4"
"AI","329 (33%)","173 (34%)","156 (32%)",NA
"none","261 (26%)","135 (27%)","126 (25%)",NA
"tamoxifen","410 (41%)","197 (39%)","213 (43%)",NA
"__Targeted therapy__","186 (19%)","86 (17%)","100 (20%)","0.2"
"__ECOG performance status__",NA,NA,NA,">0.9"
"0","698 (70%)","353 (70%)","345 (70%)",NA
"1","302 (30%)","152 (30%)","150 (30%)",NA
"__Comorbidities__",NA,NA,NA,">0.9"
"diabetes","105 (11%)","51 (10%)","54 (11%)",NA
"diabetes, hypertension","17 (1.7%)","9 (1.8%)","8 (1.6%)",NA
"hypertension","162 (16%)","82 (16%)","80 (16%)",NA
"none","716 (72%)","363 (72%)","353 (71%)",NA
